# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-T" "6" "-s" "2" "-a" "downloads/Saccharomyces_cerevisiae.R64-1-1.108.gtf" "-o" "counts/counts.txt" "hisat2/control_ribo_rep1_sorted_markdup_filt.bam" 
Geneid	Chr	Start	End	Strand	Length	hisat2/control_ribo_rep1_sorted_markdup_filt.bam
YGR067C	VII	622372	624786	-	2415	456
YGR094W	VII	672186	675500	+	3315	35388
YGL226C-A	VII;VII	72749;73138	72988;73158	-;-	261	943
YGR045C	VII	583934	584296	-	363	103
YGR175C	VII	846933	848423	-	1491	11270
YGL008C	VII	479910	482666	-	2757	167815
YGR115C	VII	720372	721151	-	780	6
YGR108W	VII	703636	705051	+	1416	1502
YGR218W	VII	932541	935795	+	3255	11325
YGR205W	VII	909213	910085	+	873	1185
YGL073W	VII	368753	371254	+	2502	3087
YGL009C	VII	476313	478652	-	2340	11917
YGL095C	VII	328874	330607	-	1734	1652
YGL137W	VII;VII	249869;250087	249886;252738	+;+	2670	12349
YGL214W	VII	90010	90495	+	486	9
YGR105W	VII	698599	698832	+	234	799
YGR001C	VII;VII;VII	497133;497459;498000	497365;497937;498034	-;-;-	747	1714
tK(UUU)G1	VII;VII	115488;115548	115524;115583	+;+	73	5
YGL217C	VII	84839	85180	-	342	1
YGL173C	VII	175527	180113	-	4587	25311
YGL086W	VII	347119	349368	+	2250	1869
YGR223C	VII	940869	942215	-	1347	1903
tS(AGA)G	VII	561662	561743	-	82	2
YGR077C	VII	637744	639513	-	1770	1913
YGL052W	VII	403437	403742	+	306	51
YGR285C	VII	1061852	1063153	-	1302	15900
YGL080W	VII	358636	359028	+	393	1247
YGL207W	VII	98969	102076	+	3108	9486
YGR261C	VII	1014321	1016750	-	2430	4569
YGR226C	VII	946792	947001	-	210	0
YGL140C	VII	241353	245012	-	3660	5596
YGL078C	VII	360288	361859	-	1572	6758
YGL199C	VII	123572	124042	-	471	63
YGR164W	VII	828625	828960	+	336	33
YGR150C	VII	790459	793053	-	2595	1592
YGL006W-A	VII	485423	485533	+	111	30
YGR196C	VII	889733	892186	-	2454	1418
YGL197W	VII	124698	129161	+	4464	6580
YGR136W	VII	762428	763153	+	726	2366
YGR153W	VII	796092	796745	+	654	283
YGL159W	VII	202721	203833	+	1113	711
YGR286C	VII	1063813	1064940	-	1128	2343
YGL254W	VII	22304	23203	+	900	578
tH(GUG)G1	VII	110625	110696	-	72	1
YGR023W	VII	529264	530919	+	1656	2652
snR48	VII	609584	609696	+	113	20
YGL063W	VII	383654	384766	+	1113	511
YGL154C	VII	215278	216096	-	819	366
YGL035C	VII	431548	433062	-	1515	3080
YGR009C	VII	509047	511002	-	1956	2691
YGR034W	VII;VII	555812;556308	555830;556672	+;+	384	10370
YGL064C	VII	381523	383208	-	1686	717
YGR118W	VII;VII	726974;727358	727038;727730	+;+	438	11127
YGR277C	VII	1045644	1046561	-	918	1126
YGR232W	VII	953960	954646	+	687	1538
YGR227W	VII	947420	948997	+	1578	901
YGL142C	VII	236269	238119	-	1851	1529
YGL143C	VII	234717	235958	-	1242	1046
YGR222W	VII	939923	940804	+	882	650
YGL045W	VII	414102	415730	+	1629	1884
YGL253W	VII	23935	25395	+	1461	19321
YGR257C	VII	1006205	1007305	-	1101	2055
YGL131C	VII	261648	265859	-	4212	2717
YGR064W	VII	617621	617989	+	369	30
YGR263C	VII	1017967	1019241	-	1275	691
YGL049C	VII	406860	409604	-	2745	6735
YGR296C-B	VII	1089746	1090228	-	483	0
YGL202W	VII	116059	117561	+	1503	11809
YGL258W-A	VII	9162	9395	+	234	65
YGR133W	VII	756896	757447	+	552	380
YGR109C	VII	705359	706501	-	1143	58
YGR037C	VII	559731	559994	-	264	4831
YGL077C	VII	362225	363916	-	1692	2987
YGR111W	VII	715828	717030	+	1203	1762
YGR016W	VII	522261	522833	+	573	149
YGR245C	VII	979765	982068	-	2304	4612
YGR287C	VII	1067222	1068991	-	1770	639
YGL244W	VII	41498	43174	+	1677	1985
YGL057C	VII	394966	395829	-	864	444
YGL187C	VII	149704	150171	-	468	1741
YGR180C	VII	855264	856301	-	1038	13341
YGR116W	VII	720409	724764	+	4356	13229
YGL181W	VII	157906	159096	+	1191	2090
YGR202C	VII	903474	904748	-	1275	2805
YGL127C	VII	270392	270775	-	384	537
YGR203W	VII	905237	905683	+	447	371
YGL150C	VII	221104	225573	-	4470	10012
YGR134W	VII	757770	761138	+	3369	1487
YGR095C	VII	675671	676342	-	672	1402
YGR214W	VII;VII	920575;921120	920664;921788	+;+	759	20215
YGR269W	VII	1026636	1026962	+	327	53
YGR176W	VII	848720	849067	+	348	7
YGL263W	VII	2790	3932	+	1143	122
YGR057C	VII	604773	605501	-	729	674
YGL074C	VII	368596	368922	-	327	1
YGR007W	VII	506969	507940	+	972	2362
YGR241C	VII	974875	976581	-	1707	2266
YGR127W	VII	746798	747736	+	939	1110
YGL219C	VII	82878	84257	-	1380	2044
YGL061C	VII	388968	389711	-	744	429
YGR083C	VII	644860	646815	-	1956	4983
YGL038C	VII	425362	426804	-	1443	2505
YGL047W	VII	411552	412160	+	609	872
YGR244C	VII	978036	979319	-	1284	6648
YGR289C	VII	1073963	1075813	-	1851	1125
YGL089C	VII	344791	345153	-	363	1252
YGL180W	VII	160065	162758	+	2694	2543
YGR146C	VII	784223	784858	-	636	2125
YGL149W	VII	225572	225877	+	306	5
YGL242C	VII	44652	45197	-	546	773
YGR106C	VII	698989	699786	-	798	4465
YGR004W	VII	502938	504326	+	1389	787
YGR209C	VII	912913	913227	-	315	4291
YGR052W	VII	593596	594705	+	1110	515
YGR158C	VII	805269	806021	-	753	1110
YGR003W	VII	500132	502366	+	2235	1599
YGR219W	VII	936035	936376	+	342	0
YGL247W	VII	36933	37526	+	594	309
YGR170W	VII	837142	840558	+	3417	3447
YGR246C	VII	982482	984272	-	1791	1865
YGL183C	VII;VII	156543;157283	157199;157285	-;-	660	136
YGR160W	VII	807073	807684	+	612	45
YGR204C-A	VII	909061	909174	-	114	2
YGR039W	VII	574888	575199	+	312	59
YGL059W	VII	392223	393698	+	1476	1775
YGL123W	VII	277617	278381	+	765	35049
YGL099W	VII	314631	316553	+	1923	3369
YGR102C	VII	694584	695135	-	552	917
YGL233W	VII	59122	61854	+	2733	2811
YGL072C	VII	371003	371362	-	360	98
YGL056C	VII	396035	397618	-	1584	2561
YGR104C	VII	697445	698368	-	924	727
YGR240C	VII	970771	973734	-	2964	40891
YGR243W	VII	977336	977776	+	441	424
YGR275W	VII	1043276	1043749	+	474	935
YGL088W	VII	345836	346201	+	366	5
YGR020C	VII	526973	527329	-	357	2843
YGR100W	VII	690245	693097	+	2853	3504
YGR231C	VII	952548	953480	-	933	3828
YGR215W	VII	922175	922507	+	333	552
YGR018C	VII	524365	524694	-	330	17
YGL152C	VII	216692	217369	-	678	11
YGL212W	VII	91432	92382	+	951	504
YGL066W	VII	377609	379582	+	1974	1581
YGL060W	VII	390065	391990	+	1926	1341
YGL185C	VII	153167	154306	-	1140	753
YGR145W	VII	781767	783890	+	2124	3460
YGL011C	VII	474489	475247	-	759	5272
YGR147C	VII	786054	786920	-	867	1708
YGR036C	VII	558149	558868	-	720	931
YGL122C	VII	278946	280523	-	1578	4741
YGL261C	VII	6290	6652	-	363	19
YGL041C	VII	419022	419225	-	204	10
YGR099W	VII	687899	689965	+	2067	1137
YGR046W	VII	584895	586052	+	1158	1707
YGL188C-A	VII	148824	148964	-	141	99
YGR216C	VII	922633	924462	-	1830	1145
tG(UCC)G	VII	779616	779687	+	72	1
YGR047C	VII	586392	589469	-	3078	2023
YGR238C	VII	966039	968687	-	2649	968
YGR282C	VII	1057783	1058724	-	942	20431
YGL132W	VII	261580	261915	+	336	7
tA(AGC)G	VII	774349	774421	+	73	0
YGR169C	VII	834689	835903	-	1215	681
YGR063C	VII	617516	617824	-	309	500
YGR256W	VII	1004624	1006102	+	1479	659
YGL036W	VII	428601	431330	+	2730	4227
YGR192C	VII	882812	883810	-	999	114695
YGL191W	VII	144808	145197	+	390	2429
YGR051C	VII	592906	593229	-	324	6
YGR013W	VII	514554	516416	+	1863	1878
YGR123C	VII	736662	738203	-	1542	2890
YGL209W	VII	95858	97006	+	1149	640
YGL163C	VII	193707	196403	-	2697	1354
YGR296C-A	VII	1088870	1089445	-	576	0
YGL178W	VII;VII	167352;167995	167354;170571	+;+	2580	3139
YGL092W	VII	337906	341859	+	3954	9060
YGR132C	VII	755589	756452	-	864	4022
YGL208W	VII	97338	98585	+	1248	1102
tL(GAG)G	VII	700675	700756	+	82	2
YGR059W	VII	607563	609101	+	1539	90
YGR114C	VII	720265	720654	-	390	0
YGR128C	VII	747950	750091	-	2142	3689
YGL246C	VII	37617	38780	-	1164	1520
YGL190C	VII	145809	147389	-	1581	2736
YGR033C	VII	554248	554967	-	720	1626
YGL112C	VII	298178	299728	-	1551	2871
YGL001C	VII	495453	496502	-	1050	2706
YGR168C	VII	833352	834482	-	1131	645
YGL093W	VII	334886	337639	+	2754	2112
YGR120C	VII	730033	730821	-	789	794
YGR027C	VII	534132	534458	-	327	9996
YGL259W	VII	8470	8967	+	498	140
YGR294W	VII	1080306	1080668	+	363	8
YGR124W	VII	739944	741662	+	1719	19007
YGL103W	VII;VII	310967;311527	311015;311927	+;+	450	18001
YGL062W	VII	385196	388732	+	3537	11806
YGR049W	VII	591314	591877	+	564	810
snR39	VII	365163	365251	-	89	114
YGR076C	VII	637104	637577	-	474	767
YGL161C	VII	199210	200142	-	933	2140
YGR062C	VII	616328	617278	-	951	645
tV(AAC)G1	VII	412294	412367	-	74	5
YGL237C	VII	52731	53528	-	798	749
YGR024C	VII	531883	532596	-	714	1249
YGR184C	VII	859901	865753	-	5853	12943
YGR292W	VII	1076599	1078353	+	1755	198
YGR151C	VII	794655	794990	-	336	2
YGL034C	VII	433214	433579	-	366	9
YGL067W	VII	376101	377255	+	1155	1708
YGR072W	VII	634304	635467	+	1164	742
YGL229C	VII	64503	66959	-	2457	797
YGR055W	VII	599417	601141	+	1725	5184
YGL044C	VII	416146	417036	-	891	886
YGL054C	VII	400871	401287	-	417	1646
YGL119W	VII	284442	285947	+	1506	1390
YGR068W-A	VII	626294	626389	+	96	3
YGR206W	VII	910432	910737	+	306	502
YGR121W-A	VII	733412	733627	+	216	8
YGL130W	VII	266145	267524	+	1380	1738
YGL042C	VII	418288	418593	-	306	18
YGR090W	VII	662358	666071	+	3714	8692
YGR221C	VII	937124	938992	-	1869	437
YGR143W	VII	775193	777508	+	2316	3594
tR(UCU)G1	VII	405470	405541	+	72	1
YGL218W	VII	83650	84300	+	651	5
YGL198W	VII	123591	124298	+	708	1805
YGL083W	VII	353058	355472	+	2415	1490
tC(GCA)G	VII	707108	707179	-	72	2
YGR071C	VII	631481	634063	-	2583	1152
YGR259C	VII	1012481	1012921	-	441	32
YGR058W	VII	606136	607143	+	1008	726
YGL195W	VII	131525	139543	+	8019	48467
YGL192W	VII	142246	144048	+	1803	23
YGL206C	VII	102543	107504	-	4962	32329
YGR060W	VII	610564	611493	+	930	7050
YGL257C	VII	12481	14157	-	1677	1875
YGL236C	VII	53787	55796	-	2010	1298
YGR138C	VII	763762	765606	-	1845	10559
YGR015C	VII	521090	522076	-	987	477
YGL023C	VII	450197	452104	-	1908	2381
YGL144C	VII	232450	234507	-	2058	1041
YGL071W	VII	372012	374084	+	2073	2446
tK(CUU)G3	VII	876394	876466	+	73	1
YGR080W	VII	642010	643008	+	999	2272
YGL116W	VII	289809	291641	+	1833	1076
YGR035C	VII	557072	557422	-	351	146
YGL201C	VII	117854	120907	-	3054	2564
YGR212W	VII	917040	918446	+	1407	655
YGR154C	VII	796798	797868	-	1071	469
YGL241W	VII	45445	48459	+	3015	1472
YGL262W	VII	5312	5839	+	528	29
YGR247W	VII	984966	985685	+	720	661
YGR199W	VII	897502	899781	+	2280	1227
YGL260W	VII	6860	7090	+	231	0
YGR179C	VII	853675	854895	-	1221	612
YGR011W	VII	512497	512823	+	327	64
YGL111W	VII	299978	301369	+	1392	3135
snR39B	VII	366374	366469	-	96	78
YGR073C	VII	635615	635986	-	372	65
YGR155W	VII	798543	800066	+	1524	21678
YGL114W	VII	293460	295637	+	2178	2307
YGL255W	VII	20978	22108	+	1131	1986
YGR066C	VII	620921	621799	-	879	122
YGR233C	VII	954674	958210	-	3537	2539
YGR092W	VII	668189	669907	+	1719	2160
YGL041W-A	VII	418825	419289	+	465	835
YGR171C	VII	840824	842551	-	1728	1139
tW(CCA)G2	VII;VII	878710;878780	878745;878815	-;-	72	0
YGL171W	VII	182390	184084	+	1695	2524
YGL029W	VII	440063	440425	+	363	371
YGR040W	VII	575398	576504	+	1107	1008
YGR220C	VII	936074	936883	-	810	1598
YGR268C	VII	1026057	1026653	-	597	1596
YGL147C	VII	227754	228329	-	576	16885
tK(CUU)G1	VII	122269	122341	+	73	0
YGR144W	VII	780399	781379	+	981	63
YGR178C	VII	851047	853215	-	2169	9157
YGR113W	VII	718893	719924	+	1032	806
YGL203C	VII	112475	114664	-	2190	2963
YGL048C	VII	410069	411286	-	1218	7148
YGR207C	VII	910843	911628	-	786	2653
YGR258C	VII	1007671	1010766	-	3096	3266
YGL091C	VII	342056	343042	-	987	1433
YGR093W	VII	670388	671911	+	1524	1833
YGR119C	VII	728046	729671	-	1626	3034
YGR213C	VII	918512	919465	-	954	249
YGR061C	VII	611889	615965	-	4077	27262
YGL182C	VII	157273	157596	-	324	10
YGR139W	VII	765726	766064	+	339	6
YGR121C	VII	731449	732927	-	1479	333
YGL043W	VII	417483	418412	+	930	2390
YGR280C	VII	1050910	1051725	-	816	582
YGL085W	VII	349616	350440	+	825	596
YGL031C	VII	437467	437934	-	468	13101
YGR117C	VII	725049	726479	-	1431	1585
YGR254W	VII	1000927	1002240	+	1314	47620
YGR235C	VII	961360	962061	-	702	1791
YGL124C	VII	274780	276714	-	1935	1215
YGR236C	VII	962530	962817	-	288	142
YGL164C	VII	191978	193300	-	1323	755
YGR293C	VII	1079885	1080346	-	462	1
tL(CAA)G1	VII;VII	205521;205591	205558;205634	+;+	82	0
YGR264C	VII	1019598	1021853	-	2256	14276
YGL234W	VII	56482	58890	+	2409	21029
YGL109W	VII	303513	303836	+	324	2
YGL238W	VII	49552	52434	+	2883	7119
YGL041C-B	VII	418704	418886	-	183	6
YGR056W	VII	601661	604447	+	2787	2614
YGR201C	VII	902520	903197	-	678	819
YGR239C	VII	969187	970053	-	867	460
YGR169C-A	VII	836387	836665	-	279	335
YGR185C	VII	866336	867520	-	1185	9420
YGR189C	VII	876669	878192	-	1524	22261
YGR022C	VII	529257	529586	-	330	6
YGR290W	VII	1075482	1075925	+	444	2
YGL205W	VII	108158	110404	+	2247	96
tK(CUU)G2	VII	185714	185786	-	73	0
YGL221C	VII	81426	82292	-	867	2869
YGL108C	VII	303649	304071	-	423	457
YGL069C	VII	375050	375514	-	465	12
YGL135W	VII	254641	255294	+	654	12366
YGR253C	VII	998358	999140	-	783	5667
YGL053W	VII	402589	403302	+	714	1405
YGL101W	VII	312193	312840	+	648	939
YGR271C-A	VII	1037800	1038501	-	702	772
YGR267C	VII	1025004	1025735	-	732	2920
YGR234W	VII	959904	961103	+	1200	10611
YGL251C	VII;VII	27921;31579	31426;31636	-;-	3564	856
YGL141W	VII	238353	241085	+	2733	2630
YGL245W	VII	39023	41149	+	2127	26828
YGL007W	VII	483260	483637	+	378	5
YGL005C	VII	489708	490547	-	840	1097
YGL215W	VII	87981	89339	+	1359	5400
YGR173W	VII	843854	844960	+	1107	1732
YGL249W	VII	33098	35212	+	2115	182
YGR161W-C	VII	810227	810505	+	279	511
YGR229C	VII	949382	950899	-	1518	5556
YGR070W	VII	627806	631273	+	3468	3576
YGR135W	VII	761392	762168	+	777	4975
YGL014C-A	VII	466237	466398	-	162	5
YGR225W	VII;VII	945145;946421	946327;947019	+;+	1782	275
YGL258W	VII	11110	11730	+	621	26
tT(UGU)G1	VII	661749	661820	+	72	2
YGL139W	VII	245716	248124	+	2409	3329
YGL172W	VII	180700	182118	+	1419	1756
YGR088W	VII	654634	656322	+	1689	2150
YGL126W	VII	270997	272139	+	1143	2319
YGR140W	VII	767429	770299	+	2871	1269
YGR129W	VII	750400	751047	+	648	384
YGL027C	VII	443642	446143	-	2502	4878
tL(CAA)G2	VII;VII	423092;423162	423129;423205	+;+	82	1
YGL231C	VII	63048	63620	-	573	2014
YGL019W	VII	458156	458992	+	837	2602
tR(UCU)G3	VII	736340	736411	+	72	0
YGR017W	VII	523787	524680	+	894	2262
YGR107W	VII	702667	703116	+	450	7
YGL039W	VII	423961	425007	+	1047	2120
tL(CAA)G3	VII;VII	857378;857454	857421;857491	-;-	82	1
YGL123C-A	VII	277634	277864	-	231	105
YGL002W	VII	494517	495167	+	651	1191
YGR044C	VII	582990	583892	-	903	2338
YGR193C	VII	884509	885741	-	1233	3073
YGL033W	VII;VII;VII	435625;435750;436375	435679;436312;436401	+;+;+	645	22
YGR165W	VII	829116	830153	+	1038	1406
YGL030W	VII;VII	439091;439324	439093;439638	+;+	318	10549
YGL128C	VII	269293	270144	-	852	642
YGL063C-A	VII	384502	384651	-	150	5
YGL007C-A	VII	482941	483027	-	87	18
YGL175C	VII	173285	174322	-	1038	349
YGL223C	VII	79112	80365	-	1254	1185
YGR190C	VII	880296	880661	-	366	3
YGL004C	VII	490703	491956	-	1254	826
YGL148W	VII	226399	227529	+	1131	10111
YGR281W	VII	1052824	1057257	+	4434	5846
tH(GUG)G2	VII	319781	319852	+	72	15
tF(GAA)G	VII;VII	440716;440771	440751;440807	-;-	73	5
YGR078C	VII	639772	640371	-	600	1594
YGL133W	VII	257707	261501	+	3795	3116
tV(AAC)G2	VII	823482	823555	+	74	0
YGR295C	VII	1081584	1082729	-	1146	3738
YGR048W	VII	589826	590911	+	1086	2082
YGR065C	VII	618077	619858	-	1782	895
YGL051W	VII	403687	404391	+	705	22
YGL220W	VII	82374	82736	+	363	1030
YGR019W	VII	525229	526644	+	1416	4654
YGL010W	VII	475545	476069	+	525	436
YGL090W	VII	343319	344584	+	1266	856
YGR054W	VII	596693	598621	+	1929	6419
YGR174W-A	VII	846655	846741	+	87	24
YGL032C	VII	436570	436833	-	264	8
tE(UUC)G2	VII	401527	401598	-	72	0
YGL179C	VII	163409	165091	-	1683	1510
tE(UUC)G3	VII	541850	541921	+	72	1
YGR002C	VII	498476	499906	-	1431	1521
YGL134W	VII	255663	256964	+	1302	873
YGL235W	VII	55279	55815	+	537	38
YGL006W	VII	485921	489442	+	3522	7507
YGR028W	VII	542203	543291	+	1089	1621
YGR283C	VII	1059015	1060040	-	1026	995
YGR249W	VII	988049	989419	+	1371	2679
snR82	VII	316788	317055	+	268	4794
snR7-L	VII	939459	939672	-	214	9
YGL232W	VII;VII	62075;62190	62131;63002	+;+	870	1748
YGL157W	VII	209006	210049	+	1044	2550
YGL118C	VII	288014	288451	-	438	12
YGR012W	VII	513159	514340	+	1182	1652
YGR242W	VII	976415	976723	+	309	0
YGR014W	VII	516943	520863	+	3921	8110
YGR038C-A	VII	566145	567467	-	1323	0
YGR161C-C	VII	821693	823015	-	1323	0
YGR027W-A	VII	536057	537379	+	1323	0
YGR109W-A	VII	707610	708482	+	873	0
YGR027W-B	VII	536057	541325	+	5269	524
YGR038C-B	VII	562199	567467	-	5269	31
YGR161C-D	VII	817747	823015	-	5269	165
YGR161W-A	VII	811738	813054	+	1317	0
YGR109W-B	VII	707610	712254	+	4645	883
YGR161W-B	VII	811738	817051	+	5314	5
YLL050C	XII;XII	39804;40401	40221;40414	-;-	432	6752
YLL032C	XII	74270	76747	-	2478	1565
YLR466W	XII	1067087	1071235	+	4149	36
YLR054C	XII;XII	248717;250948	250860;250978	-;-	2175	472
YLR437C	XII	1011622	1012023	-	402	504
YLR217W	XII	572909	573232	+	324	2
YLL056C	XII	27409	28305	-	897	300
YLR128W	XII;XII	398530;398627	398532;399433	+;+	810	438
YLR279W	XII	704309	704698	+	390	4
YLR075W	XII	282927	283592	+	666	31189
YLR052W	XII	247201	247953	+	753	1692
YLR159C-A	XII	485711	485842	-	132	0
YLR025W	XII	194452	195174	+	723	1238
YLR049C	XII	243886	245172	-	1287	1548
YLR308W	XII	747937	748875	+	939	8
YLR032W	XII	204991	208500	+	3510	1822
ETS2-2	XII	460712	460922	-	211	0
YLR251W	XII	641464	642057	+	594	735
YLR321C	XII	776584	777864	-	1281	1212
YLR327C	XII	783127	783387	-	261	5665
YLR154C-H	XII	468827	468958	-	132	0
YLR247C	XII	628684	633354	-	4671	4354
YLR167W	XII	498947	499405	+	459	27545
YLR220W	XII	576825	577793	+	969	1545
YLR455W	XII	1053629	1054543	+	915	757
YLR282C	XII	705071	705412	-	342	1
YLR094C	XII	327730	329238	-	1509	3078
YLR272C	XII	683672	687202	-	3531	2841
YLR264C-A	XII	673828	673944	-	117	0
YLR338W	XII	804346	805203	+	858	17
YLR181C	XII	516678	517670	-	993	1204
YLR458W	XII	1056455	1056835	+	381	0
YLR180W	XII	515262	516410	+	1149	13568
YLR250W	XII	640317	641021	+	705	3148
YLR222C-A	XII	582006	582236	-	231	42
YLR424W	XII	973395	975521	+	2127	676
YLR253W	XII	642627	644336	+	1710	1841
YLR390W-A	XII	903724	904440	+	717	10500
YLR233C	XII	607425	609524	-	2100	550
YLR347W-A	XII	824789	824929	+	141	2
YLR117C	XII	382471	384534	-	2064	2051
YLR110C	XII	369697	370098	-	402	37558
YLR072W	XII	278862	280943	+	2082	1867
YLR069C	XII	271630	273915	-	2286	2869
YLR403W	XII	925568	927619	+	2052	2379
YLR008C	XII	165577	166083	-	507	1107
YLR231C	XII	605758	607119	-	1362	2454
YLR264W	XII	673131	673334	+	204	763
YLR164W	XII	493883	494389	+	507	201
YLR079W	XII	286820	287674	+	855	2953
YLR103C	XII	343989	345941	-	1953	568
YLR170C	XII	500579	501049	-	471	426
YLR228C	XII	600019	602463	-	2445	2419
YLL036C	XII	66745	68256	-	1512	1882
YLR467C-A	XII	1077050	1077532	-	483	0
YLR198C	XII	547286	547645	-	360	236
snR61	XII	794486	794575	-	90	42
YLR411W	XII	947253	947978	+	726	104
YLR056W	XII	253861	254958	+	1098	5612
YLR429W	XII	990777	992732	+	1956	6695
YLL060C	XII	21138	21839	-	702	652
YLR310C	XII	752224	756993	-	4770	6671
YLR342W	XII	809997	815627	+	5631	66833
YLR017W	XII	177608	178621	+	1014	2982
tL(UAG)L2	XII;XII	732090;732147	732127;732190	+;+	82	0
YLR304C	XII	735212	737548	-	2337	13427
YLL052C	XII	35912	36361	-	450	128
YLR027C	XII	196829	198085	-	1257	9172
YLR214W	XII	568567	570627	+	2061	1452
ITS2-2	XII	464319	464550	-	232	1
YLL062C	XII	16639	17613	-	975	570
YLR378C	XII	875736	877178	-	1443	10143
YLR023C	XII	185498	187129	-	1632	2600
YLR425W	XII	982894	986817	+	3924	2493
YLR073C	XII	281019	281621	-	603	898
YLL008W	XII	131729	133987	+	2259	4481
YLL063C	XII	14648	16072	-	1425	218
YLR449W	XII	1030834	1032012	+	1179	7508
YLL046C	XII	46714	47463	-	750	37
YLR089C	XII	318237	320015	-	1779	5846
RDN18-1	XII	455933	457732	-	1800	0
YLR020C	XII	181789	183405	-	1617	2231
YLR190W	XII	535214	536689	+	1476	2585
YLR045C	XII	235037	237703	-	2667	2511
YLR285W	XII	707360	708145	+	786	1228
YLR322W	XII	777628	777942	+	315	6
YLR276C	XII	695046	696830	-	1785	3704
YLR346C	XII	822287	822592	-	306	109
YLR156W	XII	472113	472457	+	345	0
YLR135W	XII	413281	415527	+	2247	1152
YLR261C	XII	668237	668563	-	327	12
YLL066C	XII;XII	6120;9550	9450;9836	-;-	3618	419
YLR077W	XII	283872	285623	+	1752	2535
YLR144C	XII	429677	432016	-	2340	2444
YLR414C	XII	953353	954144	-	792	6734
YLR030W	XII	203290	204081	+	792	258
YLR301W	XII	730825	731559	+	735	3740
YLR252W	XII	641957	642262	+	306	282
YLR427W	XII	988428	990440	+	2013	2243
YLR200W	XII	549012	549356	+	345	1107
YLR150W	XII	440467	441288	+	822	26894
YLL021W	XII	100947	105347	+	4401	6846
YLR078C	XII;XII	285736;286557	286467;286559	-;-	735	1274
YLR153C	XII	445524	447575	-	2052	11913
YLR404W	XII	928743	929600	+	858	495
YLR014C	XII	172268	174982	-	2715	970
YLL005C	XII	137940	140546	-	2607	38
tQ(UUG)L	XII	448650	448721	-	72	0
YLR262C	XII	668244	668891	-	648	639
YLR296W	XII	722978	723304	+	327	3
YLR234W	XII	609783	611753	+	1971	762
YLR096W	XII	332590	336033	+	3444	3848
YLR271W	XII	682737	683561	+	825	1081
YLR033W	XII	208761	210269	+	1509	1714
YLR278C	XII	699999	704024	-	4026	3712
YLL055W	XII	30109	31704	+	1596	766
YLR266C	XII	675619	677724	-	2106	1009
YLL030C	XII	80356	80697	-	342	4
YLR323C	XII	778173	778952	-	780	610
YLR007W	XII	164392	165402	+	1011	1083
YLR406C-A	XII	932206	932355	-	150	5
YLL015W	XII	116432	121111	+	4680	5645
YLR343W	XII	816094	817761	+	1668	336
YLR269C	XII	680866	681216	-	351	6
tN(GUU)L	XII	975983	976056	-	74	2
YLR210W	XII	562008	563390	+	1383	667
YLR058C	XII	257992	259401	-	1410	20211
YLR145W	XII	432168	432773	+	606	348
YLR080W	XII	287916	289250	+	1335	653
YLR443W	XII	1022625	1023971	+	1347	1570
YLR325C	XII	781143	781379	-	237	8248
YLL006W	XII	136586	137866	+	1281	1257
YLR074C	XII	281956	282456	-	501	1741
RDN5-5	XII	485697	485815	+	119	0
YLR311C	XII	757265	757612	-	348	9
YLR191W	XII	537272	538432	+	1161	758
YLR235C	XII	611532	611930	-	399	6
YLR364C-A	XII	855523	855645	-	123	2
ITS2-1	XII	455182	455413	-	232	4
YLR288C	XII	713480	714904	-	1425	548
YLL001W	XII	147890	150163	+	2274	2629
YLR409C	XII	934414	937233	-	2820	4714
YLR099C	XII	339744	340928	-	1185	2162
YLR131C	XII	404510	406822	-	2313	1467
YLR362W	XII	849866	852019	+	2154	2105
YLR256W	XII	646415	650923	+	4509	11353
YLR068W	XII	271008	271463	+	456	482
YLR101C	XII	342566	342961	-	396	32
YLR341W	XII	807385	808818	+	1434	36
YLL054C	XII	32673	35204	-	2532	845
YLR186W	XII	523632	524390	+	759	2263
YLR143W	XII	427329	429386	+	2058	1354
YLR368W	XII	857540	859336	+	1797	1405
YLR393W	XII	907079	907918	+	840	518
YLR176C	XII	507797	510232	-	2436	945
YLR126C	XII	394765	395520	-	756	664
YLR099W-A	XII	341325	341588	+	264	422
YLR423C	XII	971917	973170	-	1254	516
YLR357W	XII	841331	844000	+	2670	3035
YLR197W	XII	546097	547611	+	1515	13792
ETS1-1	XII	457733	458432	-	700	59
YLR187W	XII	524865	527945	+	3081	2524
RDN5-2	XII	468813	468931	+	119	0
YLL034C	XII	70633	73146	-	2514	2912
YLL023C	XII	97997	98836	-	840	1927
YLR065C	XII	266373	266918	-	546	832
YLL031C	XII	77152	80205	-	3054	3573
YLR419W	XII	958428	962735	+	4308	4019
YLR149C-A	XII	440370	440456	-	87	2
YLR294C	XII	721701	722030	-	330	529
YLR405W	XII	929789	930892	+	1104	876
YLR157C-C	XII	482059	482190	-	132	0
YLR463C	XII	1066265	1066816	-	552	4
YLR026C	XII	195450	196472	-	1023	1665
YLR267W	XII	678212	679924	+	1713	827
YLR093C	XII;XII	326513;327400	327258;327415	-;-	762	2165
YLR085C	XII	300673	301989	-	1317	1311
YLR246W	XII	627118	628197	+	1080	573
YLR433C	XII	1004347	1006008	-	1662	1491
YLR227C	XII	590562	592043	-	1482	285
YLR012C	XII	169982	170281	-	300	1
YLR111W	XII	370391	370723	+	333	5
